['2024-12-17 19:31:05.396735', {'0x433b0b38': 149, '0x336918e8': 65, '0x433aca0c': 67, '0x43590ff4': 60}]
['2024-12-17 20:08:58.139928', {'0x433b0b38': 238, '0x336918e8': 103, '0x433aca0c': 109, '0x43590ff4': 98}]
['2024-12-17 20:09:12.243488', {'0x433b0b38': 238, '0x336918e8': 104, '0x433aca0c': 109, '0x43590ff4': 98}]
['2024-12-17 20:09:16.777728', {'0x433b0b38': 238, '0x336918e8': 104, '0x433aca0c': 110, '0x43590ff4': 98}]
['2024-12-17 20:09:44.817717', {'0x433b0b38': 238, '0x336918e8': 104, '0x433aca0c': 110, '0x43590ff4': 99}]
['2024-12-17 20:09:52.687015', {'0x433b0b38': 239, '0x336918e8': 104, '0x433aca0c': 110, '0x43590ff4': 99}]
['2024-12-17 20:09:58.653326', {'0x433b0b38': 240, '0x336918e8': 104, '0x433aca0c': 110, '0x43590ff4': 99}]
['2024-12-17 20:09:59.350273', {'0x433b0b38': 241, '0x336918e8': 104, '0x433aca0c': 110, '0x43590ff4': 99}]
['2024-12-17 20:10:12.711466', {'0x433b0b38': 241, '0x336918e8': 105, '0x433aca0c': 110, '0x43590ff4': 99}]
['2024-12-17 20:10:16.890178', {'0x433b0b38': 241, '0x336918e8': 105, '0x433aca0c': 111, '0x43590ff4': 99}]
['2024-12-17 20:10:44.920783', {'0x433b0b38': 241, '0x336918e8': 105, '0x433aca0c': 111, '0x43590ff4': 100}]
['2024-12-17 20:10:52.197367', {'0x433b0b38': 242, '0x336918e8': 105, '0x433aca0c': 111, '0x43590ff4': 100}]
['2024-12-17 20:10:58.726317', {'0x433b0b38': 243, '0x336918e8': 105, '0x433aca0c': 111, '0x43590ff4': 100}]
['2024-12-17 20:11:12.640696', {'0x433b0b38': 243, '0x336918e8': 106, '0x433aca0c': 111, '0x43590ff4': 100}]
['2024-12-17 20:11:17.140922', {'0x433b0b38': 243, '0x336918e8': 106, '0x433aca0c': 112, '0x43590ff4': 100}]
['2024-12-17 20:11:44.946902', {'0x433b0b38': 243, '0x336918e8': 106, '0x433aca0c': 112, '0x43590ff4': 101}]
['2024-12-17 20:11:52.866377', {'0x433b0b38': 244, '0x336918e8': 106, '0x433aca0c': 112, '0x43590ff4': 101}]
['2024-12-17 20:11:58.830312', {'0x433b0b38': 245, '0x336918e8': 106, '0x433aca0c': 112, '0x43590ff4': 101}]
['2024-12-17 20:12:12.787938', {'0x433b0b38': 245, '0x336918e8': 107, '0x433aca0c': 112, '0x43590ff4': 101}]
['2024-12-17 20:12:17.253728', {'0x433b0b38': 245, '0x336918e8': 107, '0x433aca0c': 113, '0x43590ff4': 101}]
['2024-12-17 20:12:28.626365', {'0x433b0b38': 246, '0x336918e8': 107, '0x433aca0c': 113, '0x43590ff4': 101}]
['2024-12-17 20:12:44.903810', {'0x433b0b38': 246, '0x336918e8': 107, '0x433aca0c': 113, '0x43590ff4': 102}]
['2024-12-17 20:12:52.224368', {'0x433b0b38': 247, '0x336918e8': 107, '0x433aca0c': 113, '0x43590ff4': 102}]
['2024-12-17 20:12:59.031305', {'0x433b0b38': 248, '0x336918e8': 107, '0x433aca0c': 113, '0x43590ff4': 102}]
['2024-12-17 20:13:12.998862', {'0x433b0b38': 248, '0x336918e8': 108, '0x433aca0c': 113, '0x43590ff4': 102}]
['2024-12-17 20:13:17.581926', {'0x433b0b38': 248, '0x336918e8': 108, '0x433aca0c': 114, '0x43590ff4': 102}]
['2024-12-17 20:13:44.880988', {'0x433b0b38': 248, '0x336918e8': 108, '0x433aca0c': 114, '0x43590ff4': 103}]
['2024-12-17 20:13:52.453460', {'0x433b0b38': 249, '0x336918e8': 108, '0x433aca0c': 114, '0x43590ff4': 103}]
['2024-12-17 20:13:59.545555', {'0x433b0b38': 250, '0x336918e8': 108, '0x433aca0c': 114, '0x43590ff4': 103}]
['2024-12-17 20:14:13.150982', {'0x433b0b38': 250, '0x336918e8': 109, '0x433aca0c': 114, '0x43590ff4': 103}]
['2024-12-17 20:14:17.612092', {'0x433b0b38': 250, '0x336918e8': 109, '0x433aca0c': 115, '0x43590ff4': 103}]
['2024-12-17 20:14:44.930938', {'0x433b0b38': 250, '0x336918e8': 109, '0x433aca0c': 115, '0x43590ff4': 104}]
['2024-12-17 20:14:52.299500', {'0x433b0b38': 251, '0x336918e8': 109, '0x433aca0c': 115, '0x43590ff4': 104}]
['2024-12-17 20:14:59.803715', {'0x433b0b38': 252, '0x336918e8': 109, '0x433aca0c': 115, '0x43590ff4': 104}]
['2024-12-17 20:15:00.278573', {'0x433b0b38': 253, '0x336918e8': 109, '0x433aca0c': 115, '0x43590ff4': 104}]
['2024-12-17 20:15:13.437088', {'0x433b0b38': 253, '0x336918e8': 110, '0x433aca0c': 115, '0x43590ff4': 104}]
['2024-12-17 20:15:17.789009', {'0x433b0b38': 253, '0x336918e8': 110, '0x433aca0c': 116, '0x43590ff4': 104}]
['2024-12-17 20:15:45.072391', {'0x433b0b38': 253, '0x336918e8': 110, '0x433aca0c': 116, '0x43590ff4': 105}]
['2024-12-17 20:15:52.267400', {'0x433b0b38': 254, '0x336918e8': 110, '0x433aca0c': 116, '0x43590ff4': 105}]
['2024-12-17 20:15:59.734496', {'0x433b0b38': 255, '0x336918e8': 110, '0x433aca0c': 116, '0x43590ff4': 105}]
['2024-12-17 20:16:13.619015', {'0x433b0b38': 255, '0x336918e8': 111, '0x433aca0c': 116, '0x43590ff4': 105}]
['2024-12-17 20:16:18.173147', {'0x433b0b38': 255, '0x336918e8': 111, '0x433aca0c': 117, '0x43590ff4': 105}]
['2024-12-17 20:16:23.249412', {'0x433b0b38': 255, '0x336918e8': 111, '0x433aca0c': 118, '0x43590ff4': 105}]
['2024-12-17 20:16:45.051209', {'0x433b0b38': 255, '0x336918e8': 111, '0x433aca0c': 118, '0x43590ff4': 106}]
['2024-12-17 20:16:52.882765', {'0x433b0b38': 256, '0x336918e8': 111, '0x433aca0c': 118, '0x43590ff4': 106}]
['2024-12-17 20:16:59.955305', {'0x433b0b38': 257, '0x336918e8': 111, '0x433aca0c': 118, '0x43590ff4': 106}]
['2024-12-17 20:17:08.954049', {'0x433b0b38': 257, '0x336918e8': 111, '0x433aca0c': 119, '0x43590ff4': 106}]
['2024-12-17 20:17:13.763021', {'0x433b0b38': 257, '0x336918e8': 112, '0x433aca0c': 119, '0x43590ff4': 106}]
['2024-12-17 20:17:18.320454', {'0x433b0b38': 257, '0x336918e8': 112, '0x433aca0c': 120, '0x43590ff4': 106}]
['2024-12-17 20:17:45.097193', {'0x433b0b38': 257, '0x336918e8': 112, '0x433aca0c': 120, '0x43590ff4': 107}]
['2024-12-17 20:17:52.776693', {'0x433b0b38': 258, '0x336918e8': 112, '0x433aca0c': 120, '0x43590ff4': 107}]
['2024-12-17 20:18:00.364732', {'0x433b0b38': 259, '0x336918e8': 112, '0x433aca0c': 120, '0x43590ff4': 107}]
['2024-12-17 20:18:13.888264', {'0x433b0b38': 259, '0x336918e8': 113, '0x433aca0c': 120, '0x43590ff4': 107}]
['2024-12-17 20:18:18.422240', {'0x433b0b38': 259, '0x336918e8': 113, '0x433aca0c': 121, '0x43590ff4': 107}]
['2024-12-17 20:18:28.689824', {'0x433b0b38': 260, '0x336918e8': 113, '0x433aca0c': 121, '0x43590ff4': 107}]
['2024-12-17 20:18:45.221377', {'0x433b0b38': 260, '0x336918e8': 113, '0x433aca0c': 121, '0x43590ff4': 108}]
['2024-12-17 20:18:52.392769', {'0x433b0b38': 261, '0x336918e8': 113, '0x433aca0c': 121, '0x43590ff4': 108}]
['2024-12-17 20:19:00.446823', {'0x433b0b38': 262, '0x336918e8': 113, '0x433aca0c': 121, '0x43590ff4': 108}]
['2024-12-17 20:19:14.166326', {'0x433b0b38': 262, '0x336918e8': 114, '0x433aca0c': 121, '0x43590ff4': 108}]
['2024-12-17 20:19:18.519323', {'0x433b0b38': 262, '0x336918e8': 114, '0x433aca0c': 122, '0x43590ff4': 108}]
['2024-12-17 20:19:45.298276', {'0x433b0b38': 262, '0x336918e8': 114, '0x433aca0c': 122, '0x43590ff4': 109}]
['2024-12-17 20:19:52.380706', {'0x433b0b38': 263, '0x336918e8': 114, '0x433aca0c': 122, '0x43590ff4': 109}]
['2024-12-17 20:20:00.918857', {'0x433b0b38': 264, '0x336918e8': 114, '0x433aca0c': 122, '0x43590ff4': 109}]
['2024-12-17 20:20:01.649867', {'0x433b0b38': 265, '0x336918e8': 114, '0x433aca0c': 122, '0x43590ff4': 109}]
['2024-12-17 20:20:14.242121', {'0x433b0b38': 265, '0x336918e8': 115, '0x433aca0c': 122, '0x43590ff4': 109}]
['2024-12-17 20:20:18.689385', {'0x433b0b38': 265, '0x336918e8': 115, '0x433aca0c': 123, '0x43590ff4': 109}]
['2024-12-17 20:20:45.243448', {'0x433b0b38': 265, '0x336918e8': 115, '0x433aca0c': 123, '0x43590ff4': 110}]
['2024-12-17 20:20:52.996864', {'0x433b0b38': 266, '0x336918e8': 115, '0x433aca0c': 123, '0x43590ff4': 110}]
['2024-12-17 20:21:00.896937', {'0x433b0b38': 267, '0x336918e8': 115, '0x433aca0c': 123, '0x43590ff4': 110}]
['2024-12-17 20:21:14.462362', {'0x433b0b38': 267, '0x336918e8': 116, '0x433aca0c': 123, '0x43590ff4': 110}]
['2024-12-17 20:21:18.968319', {'0x433b0b38': 267, '0x336918e8': 116, '0x433aca0c': 124, '0x43590ff4': 110}]
['2024-12-17 20:21:45.503609', {'0x433b0b38': 267, '0x336918e8': 116, '0x433aca0c': 124, '0x43590ff4': 111}]
['2024-12-17 20:21:52.519966', {'0x433b0b38': 268, '0x336918e8': 116, '0x433aca0c': 124, '0x43590ff4': 111}]
['2024-12-17 20:22:01.240033', {'0x433b0b38': 269, '0x336918e8': 116, '0x433aca0c': 124, '0x43590ff4': 111}]
['2024-12-17 20:22:14.633387', {'0x433b0b38': 269, '0x336918e8': 117, '0x433aca0c': 124, '0x43590ff4': 111}]
['2024-12-17 20:22:19.062475', {'0x433b0b38': 269, '0x336918e8': 117, '0x433aca0c': 125, '0x43590ff4': 111}]
['2024-12-17 20:22:45.354554', {'0x433b0b38': 269, '0x336918e8': 117, '0x433aca0c': 125, '0x43590ff4': 112}]
['2024-12-17 20:22:52.917992', {'0x433b0b38': 270, '0x336918e8': 117, '0x433aca0c': 125, '0x43590ff4': 112}]
['2024-12-17 20:23:01.388766', {'0x433b0b38': 271, '0x336918e8': 117, '0x433aca0c': 125, '0x43590ff4': 112}]
['2024-12-17 20:23:14.892343', {'0x433b0b38': 271, '0x336918e8': 118, '0x433aca0c': 125, '0x43590ff4': 112}]
['2024-12-17 20:23:19.248640', {'0x433b0b38': 271, '0x336918e8': 118, '0x433aca0c': 126, '0x43590ff4': 112}]
['2024-12-17 20:23:45.563813', {'0x433b0b38': 271, '0x336918e8': 118, '0x433aca0c': 126, '0x43590ff4': 113}]
['2024-12-17 20:23:52.445872', {'0x433b0b38': 272, '0x336918e8': 118, '0x433aca0c': 126, '0x43590ff4': 113}]
['2024-12-17 20:24:01.632103', {'0x433b0b38': 273, '0x336918e8': 118, '0x433aca0c': 126, '0x43590ff4': 113}]
['2024-12-17 20:24:14.980508', {'0x433b0b38': 273, '0x336918e8': 119, '0x433aca0c': 126, '0x43590ff4': 113}]
['2024-12-17 20:24:19.424759', {'0x433b0b38': 273, '0x336918e8': 119, '0x433aca0c': 127, '0x43590ff4': 113}]
['2024-12-17 20:24:28.976975', {'0x433b0b38': 274, '0x336918e8': 119, '0x433aca0c': 127, '0x43590ff4': 113}]
['2024-12-17 20:24:45.524513', {'0x433b0b38': 274, '0x336918e8': 119, '0x433aca0c': 127, '0x43590ff4': 114}]
['2024-12-17 20:24:52.483921', {'0x433b0b38': 275, '0x336918e8': 119, '0x433aca0c': 127, '0x43590ff4': 114}]
['2024-12-17 20:25:02.174062', {'0x433b0b38': 276, '0x336918e8': 119, '0x433aca0c': 127, '0x43590ff4': 114}]
['2024-12-17 20:25:02.796143', {'0x433b0b38': 277, '0x336918e8': 119, '0x433aca0c': 127, '0x43590ff4': 114}]
['2024-12-17 20:25:15.179485', {'0x433b0b38': 277, '0x336918e8': 120, '0x433aca0c': 127, '0x43590ff4': 114}]
['2024-12-17 20:25:19.606544', {'0x433b0b38': 277, '0x336918e8': 120, '0x433aca0c': 128, '0x43590ff4': 114}]
['2024-12-17 20:25:45.662711', {'0x433b0b38': 277, '0x336918e8': 120, '0x433aca0c': 128, '0x43590ff4': 115}]
['2024-12-17 20:25:52.461035', {'0x433b0b38': 278, '0x336918e8': 120, '0x433aca0c': 128, '0x43590ff4': 115}]
['2024-12-17 20:26:02.052034', {'0x433b0b38': 279, '0x336918e8': 120, '0x433aca0c': 128, '0x43590ff4': 115}]
['2024-12-17 20:26:15.335680', {'0x433b0b38': 279, '0x336918e8': 121, '0x433aca0c': 128, '0x43590ff4': 115}]
['2024-12-17 20:26:19.791858', {'0x433b0b38': 279, '0x336918e8': 121, '0x433aca0c': 129, '0x43590ff4': 115}]
['2024-12-17 20:26:45.576905', {'0x433b0b38': 279, '0x336918e8': 121, '0x433aca0c': 129, '0x43590ff4': 116}]
['2024-12-17 20:26:52.473972', {'0x433b0b38': 280, '0x336918e8': 121, '0x433aca0c': 129, '0x43590ff4': 116}]
['2024-12-17 20:27:02.303121', {'0x433b0b38': 281, '0x336918e8': 121, '0x433aca0c': 129, '0x43590ff4': 116}]
['2024-12-17 20:27:15.542690', {'0x433b0b38': 281, '0x336918e8': 122, '0x433aca0c': 129, '0x43590ff4': 116}]
['2024-12-17 20:27:20.057895', {'0x433b0b38': 281, '0x336918e8': 122, '0x433aca0c': 130, '0x43590ff4': 116}]
['2024-12-17 20:27:45.632787', {'0x433b0b38': 281, '0x336918e8': 122, '0x433aca0c': 130, '0x43590ff4': 117}]
['2024-12-17 20:27:52.575344', {'0x433b0b38': 282, '0x336918e8': 122, '0x433aca0c': 130, '0x43590ff4': 117}]
['2024-12-17 20:28:02.525143', {'0x433b0b38': 283, '0x336918e8': 122, '0x433aca0c': 130, '0x43590ff4': 117}]
['2024-12-17 20:28:15.880652', {'0x433b0b38': 283, '0x336918e8': 123, '0x433aca0c': 130, '0x43590ff4': 117}]
['2024-12-17 20:28:20.307884', {'0x433b0b38': 283, '0x336918e8': 123, '0x433aca0c': 131, '0x43590ff4': 117}]
['2024-12-17 20:28:45.834840', {'0x433b0b38': 283, '0x336918e8': 123, '0x433aca0c': 131, '0x43590ff4': 118}]
['2024-12-17 20:28:52.834115', {'0x433b0b38': 284, '0x336918e8': 123, '0x433aca0c': 131, '0x43590ff4': 118}]
['2024-12-17 20:29:02.753283', {'0x433b0b38': 285, '0x336918e8': 123, '0x433aca0c': 131, '0x43590ff4': 118}]
['2024-12-17 20:29:15.908805', {'0x433b0b38': 285, '0x336918e8': 124, '0x433aca0c': 131, '0x43590ff4': 118}]
['2024-12-17 20:29:20.413979', {'0x433b0b38': 285, '0x336918e8': 124, '0x433aca0c': 132, '0x43590ff4': 118}]
['2024-12-17 20:29:45.729704', {'0x433b0b38': 285, '0x336918e8': 124, '0x433aca0c': 132, '0x43590ff4': 119}]
['2024-12-17 20:29:52.966288', {'0x433b0b38': 286, '0x336918e8': 124, '0x433aca0c': 132, '0x43590ff4': 119}]
['2024-12-17 20:30:03.205188', {'0x433b0b38': 287, '0x336918e8': 124, '0x433aca0c': 132, '0x43590ff4': 119}]
['2024-12-17 20:30:03.877484', {'0x433b0b38': 288, '0x336918e8': 124, '0x433aca0c': 132, '0x43590ff4': 119}]
['2024-12-17 20:30:16.079731', {'0x433b0b38': 288, '0x336918e8': 125, '0x433aca0c': 132, '0x43590ff4': 119}]
['2024-12-17 20:30:20.595994', {'0x433b0b38': 288, '0x336918e8': 125, '0x433aca0c': 133, '0x43590ff4': 119}]
['2024-12-17 20:30:29.163370', {'0x433b0b38': 289, '0x336918e8': 125, '0x433aca0c': 133, '0x43590ff4': 119}]
['2024-12-17 20:30:41.161759', {'0x433b0b38': 289, '0x336918e8': 126, '0x433aca0c': 133, '0x43590ff4': 119}]
['2024-12-17 20:30:45.938826', {'0x433b0b38': 289, '0x336918e8': 126, '0x433aca0c': 133, '0x43590ff4': 120}]
['2024-12-17 20:30:52.595256', {'0x433b0b38': 290, '0x336918e8': 126, '0x433aca0c': 133, '0x43590ff4': 120}]
['2024-12-17 20:31:03.211578', {'0x433b0b38': 291, '0x336918e8': 126, '0x433aca0c': 133, '0x43590ff4': 120}]
